CustomerID,TRANS_DATE,TotalTransactions,MonetaryValue,ItemVariety,Churn
3cbf1d1f-7488-466b-ab72-0775f9ecc318,2025-01-07,149,68539.8,182,0
752152b2-efbf-47af-8d01-c6f124943dfb,2023-04-13,150,32083.16,155,0
2339a185-6eba-4642-b6c1-7ce9a85513a5,2024-09-14,366,24949.88,100,1
e6c76ef3-0c70-42f4-837a-3422a1cdddbb,2022-04-17,259,39814.32,56,1
6b794303-a3b5-4970-8951-f416a5ba4ec9,2023-03-10,258,28937.44,309,1
a8e77e5b-fe98-4bd3-9e44-3477f53152fa,2023-04-08,319,60957.5,567,1
894e7127-7447-4e92-a153-a335dbe52015,2022-11-05,317,67534.45,64,0
5f48c80c-e9f6-4801-9de3-5b5cd2726b78,2024-07-21,227,36818.14,70,0
49578698-2500-4b98-9e4c-a00089dfc07b,2022-10-27,334,66877.85,438,1
068f3d65-9ec6-4d05-8ea6-8cac84516715,2022-05-22,373,37379.79,374,1
316cd836-de7c-4958-9202-013af4ed9bb0,2022-12-06,43,39266.66,137,1
293ac028-44b7-4409-86b8-d1648e148741,2023-10-19,352,38385.18,284,1
50aeda67-a5ba-4b9a-9f43-351f22af4341,2022-04-07,281,55905.43,403,0
42d0f59e-d5c3-4bd3-bc0b-5863f61de63c,2024-03-31,268,11598.87,355,0
2e4651c1-c45b-4494-84d9-44d6fcbdc9f4,2022-11-12,45,22021.56,357,0
550c8357-81d5-41ba-b162-662eb918b04d,2023-12-27,271,65633.37,289,1
afc63842-df1c-4ad8-ba47-65eb0971fc2b,2023-12-22,149,41123.61,297,0
c8949f5a-50f5-4190-9335-56881f18ba1a,2024-04-15,60,11487.16,392,1
9e1da7db-e3d6-47ac-9055-436a81a0a628,2022-06-21,26,874.49,275,0
ca86c248-4c45-468f-84eb-0c913e7707f0,2022-09-18,9,45827.15,236,1
6f010b34-024e-40fa-b425-e37386d54583,2024-08-11,13,38590.89,124,1
1625a211-ff02-423a-b1ee-957f55ed732b,2024-07-10,377,66217.6,198,0
1f6eae9d-90a3-49fe-91b5-85abd0e0078d,2022-11-21,361,65877.73,66,0
8edd5a4e-675f-4fea-b537-a50bf6b565a1,2024-09-08,222,65489.43,86,1
499e7c00-9aec-4729-ab33-a3c909e9de39,2022-08-01,138,50072.89,269,0
9821ca57-7c0f-4dfb-88c5-d6e28196ce21,2022-12-09,398,6070.25,96,1
1abe72f2-7c24-49ed-a441-172f4511ffab,2022-05-01,183,37643.09,498,0
f8814229-6e76-411a-815f-02131da648f1,2023-04-09,187,19005.34,136,1
788878a3-42d3-47f3-8ebc-61f2bdd01b83,2025-01-01,86,57954.64,455,0
6be1d3d8-4b94-4b3c-8888-195cda5bc3cf,2024-07-30,356,11584.07,456,0
acfdb70b-b59b-432c-abc0-1888fa2f2e98,2023-07-10,154,21841.36,368,0
1337d8bb-209e-451d-bde4-2ff31b2d21d4,2023-03-27,67,58357.87,66,0
