Feature,Importance
SubscriptionDuration,0.4137843739227182
Recency,0.3806874150651021
Monetary-2023-11,0.016664596722732974
Monetary-2024-04,0.016568935705096117
ItemVariety-2023-11,0.01429642792678677
ItemVariety-2023-12,0.012965262318528825
Frequency-2024-02,0.012280991142002238
ItemVariety-2024-04,0.011697316182545912
ItemVariety-2024-05,0.010861111387798408
Frequency-2024-05,0.010578046227549043
Monetary-2023-12,0.01035087146313232
Monetary-2024-05,0.009528996893039017
Monetary-2024-03,0.008704689240553544
Frequency-2024-04,0.008441402836165785
Frequency-2023-12,0.008036668560718668
Frequency-2024-03,0.007842676850366083
Monetary-2024-02,0.007135378604087806
Frequency-2023-11,0.006924043433205924
ItemVariety-2024-01,0.006801204370020638
Frequency-2024-01,0.006755415659792323
ItemVariety-2024-02,0.006389882646401181
Monetary-2024-01,0.006128815913078338
ItemVariety-2024-03,0.003436132050846466
Monetary-2022-06,0.00046550939940209204
Frequency-2023-10,0.00021574129409362552
Frequency-2022-11,0.000165313587268839
ItemVariety-2022-06,0.00015722026288616356
Monetary-2022-10,0.00015489805863568032
Frequency-2023-06,0.00012527518138620252
Monetary-2023-07,0.00012255539754944784
ItemVariety-2022-10,0.0001224465392020165
Frequency-2022-08,0.00011496317872915206
Monetary-2023-10,8.2085108332188e-05
Monetary-2022-05,8.013180949244147e-05
Frequency-2022-05,7.210412380618006e-05
Monetary-2023-06,6.809263956076623e-05
ItemVariety-2023-03,6.758027517317598e-05
Frequency-2022-06,6.747955379830104e-05
Monetary-2023-04,6.331490299323156e-05
Monetary-2022-02,6.288493040823764e-05
ItemVariety-2022-09,6.1656123314704e-05
ItemVariety-2022-11,6.14221487990131e-05
Frequency-2022-12,5.688015885204986e-05
ItemVariety-2023-04,5.643349644271031e-05
ItemVariety-2023-02,5.336810494268585e-05
Frequency-2023-01,5.2705914781300776e-05
ItemVariety-2023-07,5.2699538369666926e-05
Frequency-2023-04,5.100050113838881e-05
Monetary-2023-02,5.069483040079494e-05
Frequency-2022-10,4.912472686877833e-05
Monetary-2022-11,4.8174128821322414e-05
ItemVariety-2022-12,4.735721670518349e-05
Frequency-2022-04,4.477608754867903e-05
Frequency-2023-08,4.3802007543390756e-05
ItemVariety-2022-01,4.265113981592134e-05
ItemVariety-2023-10,4.063434065406211e-05
Monetary-2023-08,2.98398708065184e-05
Frequency-2022-09,2.6977708938392863e-05
Frequency-2022-07,2.675255095056308e-05
Frequency-2023-02,2.5025919515917826e-05
ItemVariety-2023-08,7.555318407073202e-06
ItemVariety-2022-05,2.216801396406745e-06
StoreVariety-2023-06,0.0
StoreVariety-2023-11,0.0
StoreVariety-2023-01,0.0
ItemVariety-2023-01,0.0
Monetary-2022-09,0.0
StoreVariety-2022-08,0.0
ItemVariety-2022-08,0.0
Monetary-2022-08,0.0
Monetary-2023-05,0.0
ItemVariety-2023-06,0.0
StoreVariety-2023-07,0.0
StoreVariety-2023-04,0.0
Frequency-2023-05,0.0
StoreVariety-2023-10,0.0
StoreVariety-2023-12,0.0
ItemVariety-2023-05,0.0
StoreVariety-2023-05,0.0
Frequency-2023-07,0.0
Monetary-2022-01,0.0
Monetary-2023-01,0.0
ItemVariety-2022-04,0.0
StoreVariety-2022-10,0.0
StoreVariety-2022-06,0.0
StoreVariety-2022-12,0.0
Monetary-2022-12,0.0
StoreVariety-2022-07,0.0
ItemVariety-2022-07,0.0
Monetary-2022-07,0.0
StoreVariety-2022-03,0.0
ItemVariety-2022-03,0.0
Frequency-2022-03,0.0
Monetary-2022-03,0.0
StoreVariety-2022-02,0.0
ItemVariety-2022-02,0.0
Frequency-2022-02,0.0
StoreVariety-2022-01,0.0
Monetary-2022-04,0.0
StoreVariety-2022-04,0.0
StoreVariety-2023-02,0.0
StoreVariety-2022-05,0.0
StoreVariety-2023-03,0.0
Frequency-2023-03,0.0
Monetary-2023-03,0.0
StoreVariety-2024-04,0.0
StoreVariety-2024-05,0.0
StoreVariety-2023-08,0.0
Frequency-2022-01,0.0
StoreVariety-2024-01,0.0
StoreVariety-2023-09,0.0
ItemVariety-2023-09,0.0
Frequency-2023-09,0.0
Monetary-2023-09,0.0
StoreVariety-2024-02,0.0
StoreVariety-2024-03,0.0
StoreVariety-2022-11,0.0
StoreVariety-2022-09,0.0
