CustomerID,TRANS_DATE,TotalTransactions,MonetaryValue,ItemVariety,Churn
752152b2-efbf-47af-8d01-c6f124943dfb,2023-04-13,150,32083.16,155,0
e6c76ef3-0c70-42f4-837a-3422a1cdddbb,2022-04-17,259,39814.32,56,1
6b794303-a3b5-4970-8951-f416a5ba4ec9,2023-03-10,258,28937.44,309,1
5f48c80c-e9f6-4801-9de3-5b5cd2726b78,2024-07-21,227,36818.14,70,0
316cd836-de7c-4958-9202-013af4ed9bb0,2022-12-06,43,39266.66,137,1
293ac028-44b7-4409-86b8-d1648e148741,2023-10-19,352,38385.18,284,1
50aeda67-a5ba-4b9a-9f43-351f22af4341,2022-04-07,281,55905.43,403,0
42d0f59e-d5c3-4bd3-bc0b-5863f61de63c,2024-03-31,268,11598.87,355,0
2e4651c1-c45b-4494-84d9-44d6fcbdc9f4,2022-11-12,45,22021.56,357,0
afc63842-df1c-4ad8-ba47-65eb0971fc2b,2023-12-22,149,41123.61,297,0
c8949f5a-50f5-4190-9335-56881f18ba1a,2024-04-15,60,11487.16,392,1
9e1da7db-e3d6-47ac-9055-436a81a0a628,2022-06-21,26,874.49,275,0
ca86c248-4c45-468f-84eb-0c913e7707f0,2022-09-18,9,45827.15,236,1
6f010b34-024e-40fa-b425-e37386d54583,2024-08-11,13,38590.89,124,1
499e7c00-9aec-4729-ab33-a3c909e9de39,2022-08-01,138,50072.89,269,0
1abe72f2-7c24-49ed-a441-172f4511ffab,2022-05-01,183,37643.09,498,0
f8814229-6e76-411a-815f-02131da648f1,2023-04-09,187,19005.34,136,1
788878a3-42d3-47f3-8ebc-61f2bdd01b83,2025-01-01,86,57954.64,455,0
6be1d3d8-4b94-4b3c-8888-195cda5bc3cf,2024-07-30,356,11584.07,456,0
acfdb70b-b59b-432c-abc0-1888fa2f2e98,2023-07-10,154,21841.36,368,0
1337d8bb-209e-451d-bde4-2ff31b2d21d4,2023-03-27,67,58357.87,66,0
c7921426-d921-4e0e-b0dc-06f716ce89d8,2022-05-28,141,31792.93,278,0
f064168f-6dcb-446b-9de1-15eda7ae06f3,2022-11-25,253,5584.61,419,0
bde33b09-6bce-486f-bb8b-99b4ed3193e2,2022-03-18,104,58170.81,97,1
4fa600a9-4d65-42e3-a876-04604291df10,2024-08-12,98,25101.64,166,1
8a855053-1c35-4405-a795-548831a3d4fe,2024-08-02,25,3140.75,220,1
e6273877-4ab9-499a-a733-c7c880cb7fa3,2025-01-04,62,57479.38,8,1
edfc4a57-2300-403a-8878-779ed1f656ef,2024-01-03,120,25417.52,6,1
1c830c70-b9e3-476b-8dcc-5fb28c2d65a1,2024-03-18,86,16177.3,462,1
2462c242-d116-4934-9ae8-ebd3b222f15b,2023-06-05,357,48821.22,261,0
4e5283c2-d61f-4f90-be8c-ee860f298909,2024-11-01,293,17677.33,86,1
6479a6a9-6dfb-4842-b7da-199bbe9dc68f,2023-09-13,15,54259.03,272,0
48c8feb3-fc28-4004-859c-fa2d96550aa2,2022-12-11,276,25972.44,186,1
